subdivision_code,subdivision_name,emp_size_band,cohort_2021,surv_rate_1yr,surv_rate_2yr,surv_rate_3yr,surv_rate_4yr,data_source
30,Building Construction,emp_200plus,51,90.2,90.2,86.3,82.4,ABS 8165.0 DC04 Table 1
30,Building Construction,total,96355,84.9,73.3,65.1,58.6,ABS 8165.0 DC04 Table 1
31,Heavy and Civil Engineering Construction,non_employing,4439,81.7,69.5,61.6,54.8,ABS 8165.0 DC04 Table 1
31,Heavy and Civil Engineering Construction,emp_1_4,3623,90.9,82.3,76.0,69.4,ABS 8165.0 DC04 Table 1
31,Heavy and Civil Engineering Construction,emp_5_19,1342,97.6,93.6,91.0,87.6,ABS 8165.0 DC04 Table 1
31,Heavy and Civil Engineering Construction,emp_20_199,561,97.3,94.5,91.6,87.5,ABS 8165.0 DC04 Table 1
31,Heavy and Civil Engineering Construction,emp_200plus,70,94.3,90.0,80.0,80.0,ABS 8165.0 DC04 Table 1
31,Heavy and Civil Engineering Construction,total,10031,88.1,79.0,72.6,66.6,ABS 8165.0 DC04 Table 1
32,Construction Services,non_employing,167937,82.5,69.3,60.0,52.7,ABS 8165.0 DC04 Table 1
32,Construction Services,emp_1_4,110511,91.3,82.7,75.6,69.5,ABS 8165.0 DC04 Table 1
32,Construction Services,emp_5_19,21768,96.1,91.9,87.3,83.0,ABS 8165.0 DC04 Table 1
32,Construction Services,emp_20_199,3961,97.1,94.7,92.3,89.1,ABS 8165.0 DC04 Table 1
32,Construction Services,emp_200plus,82,95.1,93.9,90.2,89.0,ABS 8165.0 DC04 Table 1
32,Construction Services,total,304260,86.9,76.1,68.0,61.4,ABS 8165.0 DC04 Table 1
33,Basic Material Wholesaling,non_employing,6948,83.9,72.5,64.4,57.8,ABS 8165.0 DC04 Table 1
33,Basic Material Wholesaling,emp_1_4,4884,90.8,82.9,76.8,71.3,ABS 8165.0 DC04 Table 1
33,Basic Material Wholesaling,emp_5_19,2820,97.1,93.5,90.1,85.8,ABS 8165.0 DC04 Table 1
33,Basic Material Wholesaling,emp_20_199,873,97.5,95.2,93.2,90.3,ABS 8165.0 DC04 Table 1
33,Basic Material Wholesaling,emp_200plus,55,96.4,94.5,94.5,90.9,ABS 8165.0 DC04 Table 1
33,Basic Material Wholesaling,total,15582,89.3,80.9,74.7,69.0,ABS 8165.0 DC04 Table 1
34,Machinery and Equipment Wholesaling,non_employing,6138,81.3,68.4,60.1,53.3,ABS 8165.0 DC04 Table 1
34,Machinery and Equipment Wholesaling,emp_1_4,5079,92.0,85.2,79.3,73.7,ABS 8165.0 DC04 Table 1
34,Machinery and Equipment Wholesaling,emp_5_19,2780,97.8,94.5,91.3,88.3,ABS 8165.0 DC04 Table 1
34,Machinery and Equipment Wholesaling,emp_20_199,1040,98.4,96.3,94.4,93.2,ABS 8165.0 DC04 Table 1
34,Machinery and Equipment Wholesaling,emp_200plus,117,97.4,96.6,94.0,94.0,ABS 8165.0 DC04 Table 1
34,Machinery and Equipment Wholesaling,total,15153,89.2,81.0,74.9,69.6,ABS 8165.0 DC04 Table 1
35,Motor Vehicle and Motor Vehicle Parts Wholesaling,non_employing,2423,81.2,67.9,59.7,53.8,ABS 8165.0 DC04 Table 1
35,Motor Vehicle and Motor Vehicle Parts Wholesaling,emp_1_4,1858,90.1,81.2,73.9,67.5,ABS 8165.0 DC04 Table 1
35,Motor Vehicle and Motor Vehicle Parts Wholesaling,emp_5_19,775,96.3,91.7,85.7,81.5,ABS 8165.0 DC04 Table 1
35,Motor Vehicle and Motor Vehicle Parts Wholesaling,emp_20_199,228,96.9,92.5,90.4,87.3,ABS 8165.0 DC04 Table 1
35,Motor Vehicle and Motor Vehicle Parts Wholesaling,emp_200plus,37,83.8,81.1,81.1,81.1,ABS 8165.0 DC04 Table 1
35,Motor Vehicle and Motor Vehicle Parts Wholesaling,total,5325,87.2,77.2,70.0,64.3,ABS 8165.0 DC04 Table 1
36,"Grocery, Liquor and Tobacco Product Wholesaling",non_employing,5450,80.4,66.8,56.8,50.2,ABS 8165.0 DC04 Table 1
36,"Grocery, Liquor and Tobacco Product Wholesaling",emp_1_4,4441,89.9,79.9,71.6,64.5,ABS 8165.0 DC04 Table 1
36,"Grocery, Liquor and Tobacco Product Wholesaling",emp_5_19,2170,95.3,90.4,85.1,81.1,ABS 8165.0 DC04 Table 1
36,"Grocery, Liquor and Tobacco Product Wholesaling",emp_20_199,816,97.3,94.9,92.5,88.8,ABS 8165.0 DC04 Table 1
36,"Grocery, Liquor and Tobacco Product Wholesaling",emp_200plus,41,90.2,87.8,87.8,87.8,ABS 8165.0 DC04 Table 1
36,"Grocery, Liquor and Tobacco Product Wholesaling",total,12918,87.3,77.1,69.0,62.9,ABS 8165.0 DC04 Table 1
37,Other Goods Wholesaling,non_employing,8823,82.1,69.2,59.8,52.1,ABS 8165.0 DC04 Table 1
37,Other Goods Wholesaling,emp_1_4,6093,91.8,83.5,76.3,70.1,ABS 8165.0 DC04 Table 1
37,Other Goods Wholesaling,emp_5_19,2679,97.2,93.3,89.7,85.6,ABS 8165.0 DC04 Table 1
37,Other Goods Wholesaling,emp_20_199,799,98.4,96.0,94.2,90.9,ABS 8165.0 DC04 Table 1
37,Other Goods Wholesaling,emp_200plus,64,100.0,100.0,95.3,87.5,ABS 8165.0 DC04 Table 1
37,Other Goods Wholesaling,total,18460,88.3,78.7,71.2,64.7,ABS 8165.0 DC04 Table 1
38,Commission-Based Wholesaling,non_employing,7573,75.8,60.4,49.8,41.7,ABS 8165.0 DC04 Table 1
38,Commission-Based Wholesaling,emp_1_4,4523,86.0,74.6,66.6,59.3,ABS 8165.0 DC04 Table 1
38,Commission-Based Wholesaling,emp_5_19,762,94.9,91.1,86.5,81.4,ABS 8165.0 DC04 Table 1
38,Commission-Based Wholesaling,emp_20_199,119,97.5,97.5,92.4,89.9,ABS 8165.0 DC04 Table 1
38,Commission-Based Wholesaling,emp_200plus,6,100.0,50.0,50.0,50.0,ABS 8165.0 DC04 Table 1
