anzsic_class_code,anzsic_class_name,anzsic_group_code,year,total_businesses,entry_rate,exit_rate,data_source
5220,Airport Operations and Other Air Transport Support Services,522,2025,847.0,16.5,15.3,ABS 8165.0 DC02 Table 1
5291,Customs Agency Services,529,2025,614.0,8.6,14.2,ABS 8165.0 DC02 Table 1
5292,Freight Forwarding Services,529,2025,1137.0,11.8,10.8,ABS 8165.0 DC02 Table 1
5299,Other Transport Support Services n.e.c.,529,2025,64304.0,22.9,24.8,ABS 8165.0 DC02 Table 1
5301,Grain Storage Services,530,2025,117.0,5.2,4.3,ABS 8165.0 DC02 Table 1
5309,Other Warehousing and Storage Services,530,2025,2058.0,12.5,10.6,ABS 8165.0 DC02 Table 1
5411,Newspaper Publishing,541,2025,274.0,6.8,8.6,ABS 8165.0 DC02 Table 1
5412,Magazine and Other Periodical Publishing,541,2025,570.0,4.7,8.8,ABS 8165.0 DC02 Table 1
5413,Book Publishing,541,2025,884.0,10.4,11.3,ABS 8165.0 DC02 Table 1
5414,Directory and Mailing List Publishing,541,2025,43.0,14.0,28.0,ABS 8165.0 DC02 Table 1
5419,"Other Publishing (except Software, Music and Internet)",541,2025,169.0,7.0,8.2,ABS 8165.0 DC02 Table 1
5420,Software Publishing,542,2025,1388.0,19.1,13.3,ABS 8165.0 DC02 Table 1
5511,Motion Picture and Video Production,551,2025,8316.0,16.1,14.9,ABS 8165.0 DC02 Table 1
5512,Motion Picture and Video Distribution,551,2025,229.0,9.3,8.0,ABS 8165.0 DC02 Table 1
5513,Motion Picture Exhibition,551,2025,369.0,8.3,9.6,ABS 8165.0 DC02 Table 1
5514,Post-production Services and Other Motion Picture and Video Activities,551,2025,1121.0,16.7,13.4,ABS 8165.0 DC02 Table 1
5521,Music Publishing,552,2025,203.0,10.1,8.0,ABS 8165.0 DC02 Table 1
5522,Music and Other Sound Recording Activities,552,2025,1850.0,16.6,14.1,ABS 8165.0 DC02 Table 1
5610,Radio Broadcasting,561,2025,189.0,6.9,6.9,ABS 8165.0 DC02 Table 1
5621,Free-to-Air Television Broadcasting,562,2025,92.0,9.3,14.4,ABS 8165.0 DC02 Table 1
5622,Cable and Other Subscription Broadcasting,562,2025,67.0,10.0,14.3,ABS 8165.0 DC02 Table 1
5700,Internet Publishing and Broadcasting,570,2025,1805.0,14.5,14.9,ABS 8165.0 DC02 Table 1
5801,Wired Telecommunications Network Operation,580,2025,1463.0,16.9,13.7,ABS 8165.0 DC02 Table 1
5802,Other Telecommunications Network Operation,580,2025,691.0,15.2,14.3,ABS 8165.0 DC02 Table 1
5809,Other Telecommunications Services,580,2025,805.0,14.8,16.2,ABS 8165.0 DC02 Table 1
5910,Internet Service Providers and Web Search Portals,591,2025,1348.0,21.8,23.7,ABS 8165.0 DC02 Table 1
5921,Data Processing and Web Hosting Services,592,2025,2174.0,21.9,18.0,ABS 8165.0 DC02 Table 1
5922,Electronic Information Storage Services,592,2025,923.0,20.7,12.7,ABS 8165.0 DC02 Table 1
6010,Libraries and Archives,601,2025,101.0,8.2,4.1,ABS 8165.0 DC02 Table 1
6020,Other Information Services,602,2025,174.0,12.4,9.5,ABS 8165.0 DC02 Table 1
6221,Banking,622,2025,302.0,1.9,5.7,ABS 8165.0 DC02 Table 1
6222,Building Society Operation,622,2025,0.0,0.0,0.0,ABS 8165.0 DC02 Table 1
6223,Credit Union Operation,622,2025,3.0,0.0,0.0,ABS 8165.0 DC02 Table 1
6229,Other Depository Financial Intermediation,622,2025,954.0,12.7,11.6,ABS 8165.0 DC02 Table 1
6230,Non-Depository Financing,623,2025,3025.0,21.3,22.6,ABS 8165.0 DC02 Table 1
6240,Financial Asset Investing,624,2025,63490.0,16.4,12.5,ABS 8165.0 DC02 Table 1
6310,Life Insurance,631,2025,54.0,19.1,4.3,ABS 8165.0 DC02 Table 1
6321,Health Insurance,632,2025,119.0,6.6,8.3,ABS 8165.0 DC02 Table 1
6322,General Insurance,632,2025,240.0,27.0,9.3,ABS 8165.0 DC02 Table 1
6411,Financial Asset Broking Services,641,2025,11585.0,17.5,12.0,ABS 8165.0 DC02 Table 1
6419,Other Auxiliary Finance and Investment Services,641,2025,48735.0,16.5,12.6,ABS 8165.0 DC02 Table 1
6420,Auxiliary Insurance Services,642,2025,5235.0,10.6,12.1,ABS 8165.0 DC02 Table 1
6611,Passenger Car Rental and Hiring,661,2025,3735.0,26.4,19.2,ABS 8165.0 DC02 Table 1
6619,Other Motor Vehicle and Transport Equipment Rental and Hiring,661,2025,4354.0,13.9,13.8,ABS 8165.0 DC02 Table 1
6620,Farm Animal and Bloodstock Leasing,662,2025,99.0,11.5,16.3,ABS 8165.0 DC02 Table 1
6631,Heavy Machinery and Scaffolding Rental and Hiring,663,2025,11743.0,14.9,10.4,ABS 8165.0 DC02 Table 1
6632,Video and Other Electronic Media Rental and Hiring,663,2025,361.0,5.2,11.7,ABS 8165.0 DC02 Table 1
