division,subdivision_code,subdivision_name,year,wages_m,iva_m,employment_000,labour_share_pct,data_source
Manufacturing,15,"Pulp, paper and converted paper product manufacturing",2023,1730.0,2881.0,15.3,60.05,ABS 8155.0 DO001
Manufacturing,15,"Pulp, paper and converted paper product manufacturing",2024,1638.0,2845.0,15.1,57.57,ABS 8155.0 DO001
Manufacturing,16,Printing (including the reproduction of recorded media),2022,1736.0,2603.0,27.3,66.69,ABS 8155.0 DO001
Manufacturing,16,Printing (including the reproduction of recorded media),2023,1726.0,2939.0,26.2,58.73,ABS 8155.0 DO001
Manufacturing,16,Printing (including the reproduction of recorded media),2024,1726.0,2732.0,26.0,63.18,ABS 8155.0 DO001
Manufacturing,17,Petroleum and coal product manufacturing,2022,435.0,966.0,3.7,45.03,ABS 8155.0 DO001
Manufacturing,17,Petroleum and coal product manufacturing,2023,466.0,1994.0,3.9,23.37,ABS 8155.0 DO001
Manufacturing,17,Petroleum and coal product manufacturing,2024,464.0,1526.0,3.7,30.41,ABS 8155.0 DO001
Manufacturing,18,Basic chemical and chemical product manufacturing,2022,4990.0,11766.0,49.0,42.41,ABS 8155.0 DO001
Manufacturing,18,Basic chemical and chemical product manufacturing,2023,5379.0,11641.0,50.3,46.21,ABS 8155.0 DO001
Manufacturing,18,Basic chemical and chemical product manufacturing,2024,5655.0,9914.0,50.3,57.04,ABS 8155.0 DO001
Manufacturing,19,Polymer product and rubber product manufacturing,2022,2854.0,5190.0,39.0,54.99,ABS 8155.0 DO001
Manufacturing,19,Polymer product and rubber product manufacturing,2023,3176.0,5959.0,40.4,53.3,ABS 8155.0 DO001
Manufacturing,19,Polymer product and rubber product manufacturing,2024,3181.0,5843.0,40.0,54.44,ABS 8155.0 DO001
Manufacturing,20,Non-metallic mineral product manufacturing,2022,3474.0,7222.0,41.7,48.1,ABS 8155.0 DO001
Manufacturing,20,Non-metallic mineral product manufacturing,2023,3708.0,7743.0,44.1,47.89,ABS 8155.0 DO001
Manufacturing,20,Non-metallic mineral product manufacturing,2024,4066.0,8669.0,43.5,46.9,ABS 8155.0 DO001
Manufacturing,21,Primary metal and metal product manufacturing,2022,4618.0,12619.0,42.5,36.6,ABS 8155.0 DO001
Manufacturing,21,Primary metal and metal product manufacturing,2023,4672.0,11137.0,43.0,41.95,ABS 8155.0 DO001
